iter	Passed	Remaining
0	131	131143
1	132	66304
2	134	44692
3	136	33872
4	137	27374
5	139	23045
6	140	19969
7	142	17709
8	145	15984
9	147	14592
10	148	13390
11	150	12392
12	152	11563
13	154	10846
14	155	10226
15	158	9718
16	159	9227
17	161	8793
18	162	8402
19	164	8053
20	165	7734
21	167	7447
22	169	7187
23	171	6981
24	174	6786
25	175	6589
26	177	6393
27	179	6215
28	180	6047
29	182	5898
30	184	5776
31	187	5684
32	190	5574
33	192	5468
34	195	5393
35	198	5312
36	203	5309
37	206	5222
38	209	5156
39	212	5089
40	214	5026
41	218	4995
42	221	4926
43	223	4857
44	225	4789
45	227	4725
46	230	4666
47	234	4642
48	236	4583
49	238	4525
50	240	4470
51	243	4440
52	246	4412
53	249	4379
54	252	4337
55	255	4304
56	257	4268
57	262	4267
58	265	4233
59	267	4197
60	270	4170
61	273	4138
62	278	4136
63	280	4106
64	283	4080
65	285	4044
66	287	4007
67	292	4006
68	294	3972
69	296	3934
70	297	3897
71	299	3861
72	301	3823
73	302	3788
74	304	3758
75	306	3731
76	308	3698
77	310	3671
78	312	3644
79	314	3615
80	316	3589
81	318	3569
82	320	3537
83	323	3525
84	325	3500
85	327	3476
86	328	3451
87	330	3425
88	332	3403
89	335	3389
90	337	3376
91	340	3357
92	341	3334
93	343	3310
94	345	3288
95	346	3267
96	348	3246
97	351	3230
98	352	3211
99	354	3192
100	356	3172
101	358	3154
102	359	3134
103	361	3116
104	363	3099
105	367	3103
106	370	3096
107	372	3077
108	374	3059
109	376	3045
110	378	3028
111	380	3018
112	386	3033
113	388	3023
114	391	3011
115	393	2997
116	394	2979
117	396	2966
118	398	2951
119	400	2937
120	403	2929
121	405	2915
122	407	2902
123	409	2890
124	411	2881
125	415	2880
126	416	2865
127	419	2857
128	421	2846
129	423	2834
130	425	2821
131	428	2817
132	430	2807
133	433	2799
134	436	2795
135	437	2782
136	439	2769
137	442	2762
138	444	2751
139	446	2741
140	448	2729
141	449	2714
